NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
63,서울특별시 노원구 공릉동,395-4,395,4,에덴빌라,월세,17.14,202312,25,300,30,3,2012,동일로190길 21,-,-,-,,,연립다세대
64,서울특별시 노원구 상계동,1087-8,1087,8,상계빌라(1087-8),전세,56.2,202312,25,"13,650",0,2,2001,동일로237길 80,202312~202512,갱신,-,"13,000",0,연립다세대
65,서울특별시 노원구 월계동,392-45,392,45,에이플러스빌,월세,10.92,202312,24,"1,000",45,4,2016,광운로13길 23,202402~202502,신규,-,,,연립다세대
66,서울특별시 노원구 공릉동,441-47,441,47,해비치빌,월세,28.51,202312,24,"2,000",41,3,2015,공릉로43가길 16-7,202402~202502,신규,-,,,연립다세대
67,서울특별시 노원구 공릉동,410-8,410,8,SH하우스,월세,31.45,202312,24,"2,000",82,3,2014,공릉로41라길 2,202402~202602,신규,-,,,연립다세대
68,서울특별시 노원구 공릉동,513-40,513,40,제이하우스(513-40),월세,12.46,202312,23,"1,000",42,2,2011,동일로186길 48,202402~202502,신규,-,,,연립다세대
69,서울특별시 노원구 중계동,Aug-68,68,8,한신빌라트,전세,72.44,202312,23,"26,500",0,4,2005,중계로14나길 41,202402~202602,신규,-,,,연립다세대
70,서울특별시 노원구 공릉동,503-1,503,1,스톤게이트,월세,12.05,202312,23,"1,000",44,3,2012,동일로190길 46,202402~202502,신규,-,,,연립다세대
71,서울특별시 노원구 공릉동,441-86,441,86,441-86,월세,54.39,202312,23,"1,000",47,2,2014,공릉로43가길 30-4,202402~202502,신규,-,,,연립다세대
72,서울특별시 노원구 하계동,65-28,65,28,(65-28),월세,16.97,202312,23,"1,000",45,2,2013,공릉로58마길 31-2,202401~202601,신규,-,,,연립다세대
73,서울특별시 노원구 월계동,411-3,411,3,제이타운,월세,16.62,202312,23,"1,000",52,2,2012,석계로13길 44,202402~202602,신규,-,,,연립다세대
74,서울특별시 노원구 월계동,402-21,402,21,준타운,월세,15.96,202312,23,"1,000",54,2,2013,광운로7길 17,202402~202502,신규,-,,,연립다세대
75,서울특별시 노원구 상계동,1008-49,1008,49,우진빌라,전세,57.42,202312,23,"12,000",0,4,1995,동일로238길 32,202402~202602,신규,-,,,연립다세대
76,서울특별시 노원구 월계동,376-62,376,62,하버드빌리지,월세,12.64,202312,23,"5,000",30,5,2011,광운로19가길 17-3,202402~202602,신규,-,,,연립다세대
77,서울특별시 노원구 상계동,1104-2,1104,2,"정우빌라가,나동",월세,83.94,202312,22,"15,000",20,3,1986,동일로237가길 37,202402~202602,신규,-,,,연립다세대
78,서울특별시 노원구 월계동,479-18,479,18,연안주택,전세,15.21,202312,22,"8,000",0,3,2012,광운로2가길 10-10,202402~202602,신규,-,,,연립다세대
79,서울특별시 노원구 상계동,1116-108,1116,108,양지그린빌라101동,월세,39.94,202312,22,"7,000",40,4,1996,동일로242다길 25,202312~202512,신규,-,,,연립다세대
80,서울특별시 노원구 공릉동,350-42,350,42,청마타운B동,월세,29.16,202312,21,"1,000",50,2,2014,공릉로27길 94,202402~202502,신규,-,,,연립다세대
81,서울특별시 노원구 공릉동,237-5,237,5,장가빌,전세,23.55,202312,21,"8,000",0,5,2016,공릉로 152-11,202402~202602,신규,-,,,연립다세대
82,서울특별시 노원구 공릉동,441-95,441,95,힐스퀘어A동,전세,20.28,202312,21,"14,000",0,3,2015,공릉로43가길 20,202401~202601,신규,-,,,연립다세대
83,서울특별시 노원구 공릉동,421-16,421,16,금정,월세,12.05,202312,21,"1,000",47,2,2013,공릉로48길 20,202401~202501,신규,-,,,연립다세대
84,서울특별시 노원구 공릉동,502-27,502,27,한미동산,월세,19.14,202312,21,"1,000",45,3,2013,동일로186길 53-17,202402~202502,신규,-,,,연립다세대
85,서울특별시 노원구 월계동,411-15,411,15,제이앤제이하우스,월세,11.9,202312,21,"2,500",14,2,2012,석계로13길 40,202402~202502,신규,-,,,연립다세대
86,서울특별시 노원구 월계동,411-15,411,15,제이앤제이하우스,월세,8.02,202312,21,500,38,5,2012,석계로13길 40,202401~202501,신규,-,,,연립다세대
87,서울특별시 노원구 월계동,429-8,429,8,(429-8),월세,29.97,202312,21,"1,000",60,4,2016,석계로13길 11-1,202402~202602,신규,-,,,연립다세대
88,서울특별시 노원구 월계동,411-15,411,15,제이앤제이하우스,월세,10.44,202312,20,"1,000",42,2,2012,석계로13길 40,202402~202502,신규,-,,,연립다세대
89,서울특별시 노원구 공릉동,585-17,585,17,아트갤러리,월세,17.82,202312,20,"1,000",43,3,2012,동일로178길 29-10,202402~202502,신규,-,,,연립다세대
90,서울특별시 노원구 공릉동,410-8,410,8,SH하우스,월세,19.29,202312,20,"2,000",80,4,2014,공릉로41라길 2,202402~202602,신규,-,,,연립다세대
91,서울특별시 노원구 상계동,322-8,322,8,오성빌라,월세,64.68,202312,20,500,45,3,1985,상계로10길 29-18,202312~202412,신규,-,,,연립다세대
92,서울특별시 노원구 상계동,134-12,134,12,"천우빌라14차가,나",월세,27.22,202312,20,"6,000",5,4,1998,수락산로 61,-,-,-,,,연립다세대
93,서울특별시 노원구 상계동,169-472,169,472,공감,전세,22.21,202312,20,"16,000",0,2,2022,한글비석로37길 11,202402~202602,신규,-,,,연립다세대
94,서울특별시 노원구 상계동,71-183,71,183,불암빌라,월세,38.02,202312,20,"3,000",30,2,1991,덕릉로126라길 8,-,-,-,,,연립다세대
95,서울특별시 노원구 공릉동,499-52,499,52,행운빌라,전세,61.47,202312,19,"16,500",0,3,1994,동일로186길 7,202402~202602,신규,-,,,연립다세대
96,서울특별시 노원구 중계동,Dec-90,90,12,퀸즈빌,전세,50.88,202312,19,"23,000",0,4,2023,중계로14사길 17,202402~202602,신규,-,,,연립다세대
97,서울특별시 노원구 공릉동,441-61,441,61,시온하우스,월세,15.32,202312,19,"1,000",42,2,2014,공릉로43가길 3,202402~202502,신규,-,,,연립다세대
98,서울특별시 노원구 공릉동,513-57,513,57,(513-57),월세,12.58,202312,19,"2,000",23,4,2013,동일로186길 36-20,-,-,-,,,연립다세대
99,서울특별시 노원구 월계동,411-15,411,15,제이앤제이하우스,월세,16.16,202312,19,"1,000",45,5,2012,석계로13길 40,202402~202502,신규,-,,,연립다세대
