NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
76,서울특별시 노원구 상계동,3**,8m미만,30.0,전세,202212,27,8000,0,1993.0,한글비석로25길,202301~202501,신규,-,,,단독다가구
77,서울특별시 노원구 상계동,1**,8m미만,37.62,전세,202212,27,8500,0,1988.0,한글비석로24가길,202302~202502,신규,-,,,단독다가구
78,서울특별시 노원구 상계동,3**,12m미만,24.0,전세,202212,27,8500,0,2014.0,상계로17길,202212~202303,신규,-,,,단독다가구
79,서울특별시 노원구 공릉동,5**,8m미만,28.0,전세,202212,27,13000,0,2013.0,동일로182길,202302~202402,신규,-,,,단독다가구
80,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,27,9000,0,2018.0,동일로193길,202302~202402,신규,-,,,단독다가구
81,서울특별시 노원구 공릉동,5**,8m미만,22.0,전세,202212,27,8500,0,2005.0,동일로186길,202301~202501,신규,-,,,단독다가구
82,서울특별시 노원구 중계동,7*,8m미만,15.0,전세,202212,27,7300,0,2008.0,중계로14라길,202212~202312,신규,-,,,단독다가구
83,서울특별시 노원구 중계동,7*,-,15.0,전세,202212,27,5300,0,2008.0,,-,-,-,,,단독다가구
84,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,27,5900,0,2007.0,공릉로41라길,-,-,-,,,단독다가구
85,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,27,9000,0,2017.0,공릉로41나길,202302~202402,신규,-,,,단독다가구
86,서울특별시 노원구 공릉동,5**,8m미만,16.0,전세,202212,27,6300,0,2016.0,동일로182길,202302~202402,신규,-,,,단독다가구
87,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,27,8600,0,2017.0,동일로176길,202301~202501,신규,-,,,단독다가구
88,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,27,6500,0,2012.0,동일로182길,202301~202501,신규,-,,,단독다가구
89,서울특별시 노원구 공릉동,3**,8m미만,13.0,전세,202212,27,9000,0,2017.0,동일로190길,202301~202401,신규,-,,,단독다가구
90,서울특별시 노원구 공릉동,3**,8m미만,18.0,전세,202212,27,8500,0,2016.0,동일로196길,202302~202402,신규,-,,,단독다가구
91,서울특별시 노원구 공릉동,5**,-,14.0,전세,202212,27,8000,0,2017.0,,-,-,-,,,단독다가구
92,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,27,8600,0,2017.0,동일로176길,202301~202501,신규,-,,,단독다가구
