NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,위도,경도
26,서울특별시 노원구 상계동,1***,8m미만,58.74,전세,202212,30,14000,0,1996.0,동일로237바길,202302~202502,신규,-,,,단독다가구,37.6739881,127.050163
27,서울특별시 노원구 상계동,1***,8m미만,58.74,전세,202212,30,14000,0,1996.0,동일로237바길,202302~202502,신규,-,,,단독다가구,37.6739881,127.050163
28,서울특별시 노원구 상계동,1**,8m미만,24.75,전세,202212,30,12000,0,2018.0,노원로32길,202301~202501,신규,-,,,단독다가구,37.6550571,127.0696866
29,서울특별시 노원구 상계동,1**,8m미만,35.07,전세,202212,30,8400,0,1992.0,상계로23가길,202301~202501,신규,-,,,단독다가구,37.6587823,127.0698038
30,서울특별시 노원구 상계동,1**,8m미만,24.82,전세,202212,30,14000,0,1993.0,상계로12길,202301~202501,신규,-,,,단독다가구,37.6561017,127.0698992
31,서울특별시 노원구 상계동,1**,8m미만,30.0,전세,202212,30,8000,0,1993.0,한글비석로44길,202301~202501,갱신,-,500,30.0,단독다가구,37.6644543,127.0716957
32,서울특별시 노원구 상계동,1**,8m미만,59.61,전세,202212,30,9000,0,1993.0,한글비석로24바길,-,-,-,,,단독다가구,37.6662286,127.06998
34,서울특별시 노원구 하계동,7*,12m미만,25.0,전세,202212,30,11000,0,2007.0,공릉로58길,202301~202501,신규,-,,,단독다가구,37.633224,127.0725796
37,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,30,9000,0,2013.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6253484,127.075036
38,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,30,8500,0,2018.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6253484,127.075036
39,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,30,9000,0,2016.0,공릉로41나길,202301~202401,신규,-,,,단독다가구,37.6250551,127.0788344
40,서울특별시 노원구 공릉동,3**,8m미만,15.0,전세,202212,30,8500,0,2016.0,공릉로39길,202302~202402,신규,-,,,단독다가구,37.6237527,127.0782212
41,서울특별시 노원구 공릉동,4**,8m미만,18.0,전세,202212,30,6200,0,1993.0,공릉로41다길,-,-,-,,,단독다가구,37.6252888,127.0784778
42,서울특별시 노원구 하계동,7*,8m미만,29.5,전세,202212,29,21000,0,2021.0,공릉로58라길,202301~202501,신규,-,,,단독다가구,,
43,서울특별시 노원구 중계동,1**,8m미만,53.28,전세,202212,29,15000,0,1989.0,덕릉로90길,202302~202502,신규,-,,,단독다가구,37.6604963,127.0760545
44,서울특별시 노원구 중계동,1**,8m미만,15.0,전세,202212,29,4000,0,2009.0,덕릉로86길,-,-,-,,,단독다가구,37.6608397,127.0787916
46,서울특별시 노원구 공릉동,3**,25m미만,20.0,전세,202212,29,9500,0,1980.0,동일로191가길,202302~202402,신규,-,,,단독다가구,37.6262026,127.0696705
47,서울특별시 노원구 공릉동,5**,8m미만,33.0,전세,202212,29,6000,0,2003.0,동일로176길,-,-,-,,,단독다가구,37.6202735,127.0755948
48,서울특별시 노원구 공릉동,5**,12m미만,17.0,전세,202212,29,7000,0,2008.0,동일로178길,202301~202501,신규,-,,,단독다가구,37.6218701,127.0756461
49,서울특별시 노원구 공릉동,5**,12m미만,17.0,전세,202212,29,6000,0,2008.0,동일로178길,-,-,-,,,단독다가구,37.6218701,127.0756461
50,서울특별시 노원구 공릉동,5**,8m미만,31.0,전세,202212,29,21000,0,2022.0,동일로182길,202302~202502,신규,-,,,단독다가구,37.6238518,127.0760651
51,서울특별시 노원구 상계동,3**,8m미만,42.27,전세,202212,29,7000,0,,한글비석로27길,-,-,-,,,단독다가구,37.6607452,127.0702202
52,서울특별시 노원구 상계동,3**,8m미만,35.0,전세,202212,29,5700,0,1993.0,한글비석로29길,-,-,-,,,단독다가구,37.6601966,127.0692006
54,서울특별시 노원구 월계동,3**,8m미만,21.92,전세,202212,29,6000,0,2016.0,광운로17길,-,-,-,,,단독다가구,37.6224818,127.0579185
55,서울특별시 노원구 월계동,5**,8m미만,14.0,전세,202212,29,7500,0,2009.0,광운로15길,202302~202402,신규,-,,,단독다가구,37.6217329,127.0584442
56,서울특별시 노원구 월계동,2**,8m미만,16.0,전세,202212,29,8500,0,2017.0,초안산로2길,202212~202412,신규,-,,,단독다가구,37.6338158,127.0582095
57,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,29,4500,0,2017.0,공릉로,-,-,-,,,단독다가구,37.6393895,127.0693259
58,서울특별시 노원구 공릉동,6**,8m미만,50.0,전세,202212,28,14500,0,1973.0,동일로175길,202212~202412,갱신,-,"3,000",55.0,단독다가구,37.6195367,127.073374
60,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,28,6000,0,2018.0,동일로193길,-,-,-,,,단독다가구,37.6260364,127.0719136
61,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,28,7000,0,2015.0,공릉로41나길,-,-,-,,,단독다가구,37.6250551,127.0788344
63,서울특별시 노원구 상계동,4**,12m미만,30.0,전세,202212,28,9000,0,1983.0,한글비석로31가길,202301~202501,신규,-,,,단독다가구,37.6614037,127.0681171
65,서울특별시 노원구 월계동,3**,8m미만,17.0,전세,202212,28,10000,0,2017.0,광운로15길,202302~202402,신규,-,,,단독다가구,37.6217329,127.0584442
66,서울특별시 노원구 월계동,4**,8m미만,30.0,전세,202212,28,10000,0,2018.0,광운로,202301~202501,신규,-,,,단독다가구,37.6170606,127.0564595
67,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,28,7000,0,2015.0,공릉로41나길,202301~202501,신규,-,,,단독다가구,37.6250551,127.0788344
68,서울특별시 노원구 공릉동,4**,8m미만,30.0,전세,202212,28,15000,0,2016.0,공릉로,202302~202502,신규,-,,,단독다가구,37.6393895,127.0693259
69,서울특별시 노원구 하계동,1**,12m미만,19.8,전세,202212,28,10000,0,2014.0,공릉로58길,202301~202401,신규,-,,,단독다가구,37.633224,127.0725796
70,서울특별시 노원구 공릉동,2**,12m미만,12.4,전세,202212,28,8000,0,2016.0,공릉로32길,-,-,-,,,단독다가구,37.6219123,127.0807951
71,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,28,8500,0,1990.0,공릉로41다길,202302~202402,신규,-,,,단독다가구,37.6252888,127.0784778
72,서울특별시 노원구 공릉동,5**,12m미만,20.0,전세,202212,28,7300,0,2016.0,동일로186길,202301~202501,신규,-,,,단독다가구,37.6253484,127.075036
73,서울특별시 노원구 공릉동,3**,8m미만,14.0,전세,202212,28,9000,0,2017.0,동일로193가길,202302~202402,신규,-,,,단독다가구,37.6273545,127.0712983
74,서울특별시 노원구 공릉동,3**,8m미만,23.14,전세,202212,28,10000,0,2008.0,동일로190길,202302~202402,신규,-,,,단독다가구,37.6266931,127.0757284
75,서울특별시 노원구 상계동,1**,8m미만,28.89,전세,202212,27,8500,0,1990.0,상계로12길,202301~202501,신규,-,,,단독다가구,37.6561017,127.0698992
76,서울특별시 노원구 상계동,3**,8m미만,30.0,전세,202212,27,8000,0,1993.0,한글비석로25길,202301~202501,신규,-,,,단독다가구,37.660592,127.0704148
77,서울특별시 노원구 상계동,1**,8m미만,37.62,전세,202212,27,8500,0,1988.0,한글비석로24가길,202302~202502,신규,-,,,단독다가구,37.6629145,127.0703288
78,서울특별시 노원구 상계동,3**,12m미만,24.0,전세,202212,27,8500,0,2014.0,상계로17길,202212~202303,신규,-,,,단독다가구,37.6583455,127.068244
79,서울특별시 노원구 공릉동,5**,8m미만,28.0,전세,202212,27,13000,0,2013.0,동일로182길,202302~202402,신규,-,,,단독다가구,37.6238518,127.0760651
80,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,27,9000,0,2018.0,동일로193길,202302~202402,신규,-,,,단독다가구,37.6260364,127.0719136
81,서울특별시 노원구 공릉동,5**,8m미만,22.0,전세,202212,27,8500,0,2005.0,동일로186길,202301~202501,신규,-,,,단독다가구,37.6253484,127.075036
82,서울특별시 노원구 중계동,7*,8m미만,15.0,전세,202212,27,7300,0,2008.0,중계로14라길,202212~202312,신규,-,,,단독다가구,37.6496628,127.0835457
84,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,27,5900,0,2007.0,공릉로41라길,-,-,-,,,단독다가구,37.6252785,127.0781803
85,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,27,9000,0,2017.0,공릉로41나길,202302~202402,신규,-,,,단독다가구,37.6250551,127.0788344
86,서울특별시 노원구 공릉동,5**,8m미만,16.0,전세,202212,27,6300,0,2016.0,동일로182길,202302~202402,신규,-,,,단독다가구,37.6238518,127.0760651
87,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,27,8600,0,2017.0,동일로176길,202301~202501,신규,-,,,단독다가구,37.6202735,127.0755948
88,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,27,6500,0,2012.0,동일로182길,202301~202501,신규,-,,,단독다가구,37.6238518,127.0760651
89,서울특별시 노원구 공릉동,3**,8m미만,13.0,전세,202212,27,9000,0,2017.0,동일로190길,202301~202401,신규,-,,,단독다가구,37.6266931,127.0757284
90,서울특별시 노원구 공릉동,3**,8m미만,18.0,전세,202212,27,8500,0,2016.0,동일로196길,202302~202402,신규,-,,,단독다가구,37.6282688,127.0742061
92,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,27,8600,0,2017.0,동일로176길,202301~202501,신규,-,,,단독다가구,37.6202735,127.0755948
93,서울특별시 노원구 하계동,7*,12m미만,16.5,전세,202212,27,7500,0,2007.0,공릉로58마길,202302~202402,신규,-,,,단독다가구,37.6368557,127.0792561
94,서울특별시 노원구 하계동,7*,12m미만,23.14,전세,202212,27,8500,0,2007.0,공릉로58마길,202302~202402,신규,-,,,단독다가구,37.6368557,127.0792561
95,서울특별시 노원구 공릉동,4**,8m미만,18.0,전세,202212,26,11000,0,2016.0,공릉로43길,202302~202402,신규,-,,,단독다가구,37.6259928,127.0782988
97,서울특별시 노원구 상계동,1**,8m미만,23.0,전세,202212,26,5500,0,1993.0,한글비석로24사길,-,-,-,,,단독다가구,37.6640083,127.0735818
98,서울특별시 노원구 공릉동,4**,8m미만,28.0,전세,202212,26,11000,0,1999.0,공릉로39길,202301~202501,신규,-,,,단독다가구,37.6237527,127.0782212
99,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,26,9000,0,2013.0,공릉로43길,202302~202402,신규,-,,,단독다가구,37.6259928,127.0782988
100,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,26,8000,0,2017.0,동일로184길,202302~202502,신규,-,,,단독다가구,37.6243513,127.0758936
101,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,26,6000,0,2018.0,동일로193길,-,-,-,,,단독다가구,37.6260364,127.0719136
102,서울특별시 노원구 공릉동,5**,8m미만,16.0,전세,202212,26,7300,0,2015.0,동일로184길,202302~202402,신규,-,,,단독다가구,37.6243513,127.0758936
103,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,26,6000,0,2018.0,동일로193길,-,-,-,,,단독다가구,37.6260364,127.0719136
104,서울특별시 노원구 월계동,3**,8m미만,20.0,전세,202212,26,11000,0,2015.0,광운로19가길,202302~202402,신규,-,,,단독다가구,37.6247424,127.0592915
105,서울특별시 노원구 하계동,1**,12m미만,10.8,전세,202212,26,10000,0,2010.0,공릉로58길,202302~202402,신규,-,,,단독다가구,37.633224,127.0725796
106,서울특별시 노원구 상계동,3**,8m미만,18.0,전세,202212,26,8300,0,2013.0,상계로13길,202212~202312,신규,-,,,단독다가구,,
107,서울특별시 노원구 하계동,7*,12m미만,23.14,전세,202212,26,8500,0,2007.0,공릉로58마길,202302~202402,신규,-,,,단독다가구,37.6368557,127.0792561
108,서울특별시 노원구 월계동,4**,8m미만,19.8,전세,202212,26,8300,0,2017.0,광운로7길,202302~202402,신규,-,,,단독다가구,37.6208683,127.0582248
109,서울특별시 노원구 공릉동,5**,12m미만,18.0,전세,202212,25,9000,0,2013.0,동일로182길,202302~202402,신규,-,,,단독다가구,37.6238518,127.0760651
111,서울특별시 노원구 월계동,4**,8m미만,12.0,전세,202212,25,7500,0,2017.0,광운로7길,202303~202503,신규,-,,,단독다가구,37.6208683,127.0582248
113,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,25,6500,0,2016.0,공릉로,202301~202402,신규,-,,,단독다가구,37.6393895,127.0693259
115,서울특별시 노원구 월계동,3**,8m미만,10.0,전세,202212,24,7300,0,2014.0,광운로15길,202301~202307,신규,-,,,단독다가구,37.6217329,127.0584442
116,서울특별시 노원구 공릉동,1**,12m미만,21.7,전세,202212,24,6500,0,2003.0,화랑로51가길,202302~202502,신규,-,,,단독다가구,37.6249957,127.0921995
117,서울특별시 노원구 공릉동,3**,8m미만,18.18,전세,202212,24,9500,0,2017.0,공릉로41길,202302~202402,신규,-,,,단독다가구,37.62463,127.0785032
118,서울특별시 노원구 공릉동,5**,8m미만,22.0,전세,202212,24,11500,0,2017.0,동일로180길,202301~202501,신규,-,,,단독다가구,37.622504,127.0759676
119,서울특별시 노원구 공릉동,5**,8m미만,16.0,전세,202212,24,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6253484,127.075036
120,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,24,8500,0,1984.0,동일로180길,202212~202312,신규,-,,,단독다가구,37.622504,127.0759676
121,서울특별시 노원구 월계동,2**,12m미만,24.0,전세,202212,24,14000,0,2021.0,초안산로2길,202301~202402,신규,-,,,단독다가구,37.6338158,127.0582095
122,서울특별시 노원구 상계동,1**,8m미만,49.3,전세,202212,24,10000,0,1992.0,한글비석로24아길,202301~202501,신규,-,,,단독다가구,37.6643109,127.0739495
123,서울특별시 노원구 상계동,1**,8m미만,35.07,전세,202212,24,8400,0,1992.0,상계로23가길,202302~202502,신규,-,,,단독다가구,37.6587823,127.0698038
124,서울특별시 노원구 상계동,7*,-,40.89,전세,202212,23,7000,0,1994.0,덕릉로126나길,202301~202501,신규,-,,,단독다가구,37.6706319,127.0842814
125,서울특별시 노원구 상계동,1***,8m미만,13.0,전세,202212,23,9500,0,2017.0,동일로236길,202212~202412,신규,-,,,단독다가구,37.6739322,127.0576002
127,서울특별시 노원구 상계동,7*,-,40.89,전세,202212,23,7000,0,1994.0,덕릉로126나길,-,-,-,,,단독다가구,37.6706319,127.0842814
128,서울특별시 노원구 공릉동,4**,8m미만,19.8,전세,202212,23,8500,0,2009.0,동일로187길,202212~202408,신규,-,,,단독다가구,37.6248275,127.0724857
129,서울특별시 노원구 공릉동,5**,8m미만,14.0,전세,202212,23,9000,0,2014.0,동일로182길,202302~202402,신규,-,,,단독다가구,37.6238518,127.0760651
130,서울특별시 노원구 공릉동,3**,8m미만,20.0,전세,202212,23,10000,0,2016.0,동일로196길,202301~202402,신규,-,,,단독다가구,37.6282688,127.0742061
131,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,23,8300,0,2015.0,공릉로41마길,202302~202402,신규,-,,,단독다가구,37.6252697,127.0779284
132,서울특별시 노원구 월계동,3**,8m미만,16.5,전세,202212,23,8500,0,2010.0,광운로19가길,202301~202401,신규,-,,,단독다가구,37.6247424,127.0592915
133,서울특별시 노원구 월계동,4**,8m미만,17.0,전세,202212,23,10000,0,2016.0,광운로2길,202302~202402,신규,-,,,단독다가구,37.61773,127.05804
134,서울특별시 노원구 월계동,4**,8m미만,15.0,전세,202212,22,8500,0,2003.0,석계로13길,202212~202312,신규,-,,,단독다가구,37.6197194,127.0614772
135,서울특별시 노원구 상계동,3**,8m미만,28.86,전세,202212,22,8000,0,1997.0,상계로5길,-,신규,-,,,단독다가구,37.656642,127.0641384
137,서울특별시 노원구 월계동,3**,8m미만,15.0,전세,202212,22,5000,0,2016.0,광운로17길,-,-,-,,,단독다가구,37.6224818,127.0579185
140,서울특별시 노원구 공릉동,5**,8m미만,20.0,전세,202212,22,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6253484,127.075036
141,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,22,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6253484,127.075036
142,서울특별시 노원구 공릉동,5**,8m미만,15.0,전세,202212,22,8200,0,2011.0,동일로182길,202301~202401,신규,-,,,단독다가구,37.6238518,127.0760651
143,서울특별시 노원구 공릉동,4**,8m미만,18.0,전세,202212,22,8500,0,2013.0,공릉로41마길,202302~202402,갱신,-,500,38.0,단독다가구,37.6252697,127.0779284
144,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,22,9000,0,2016.0,공릉로,202302~202402,신규,-,,,단독다가구,37.6393895,127.0693259
145,서울특별시 노원구 공릉동,1**,8m미만,19.0,전세,202212,22,6000,0,2010.0,화랑로51가길,-,-,-,,,단독다가구,37.6249957,127.0921995
146,서울특별시 노원구 공릉동,2**,12m미만,20.0,전세,202212,22,9500,0,2010.0,공릉로38길,202301~202401,갱신,-,500,45.0,단독다가구,37.6231751,127.0801541
147,서울특별시 노원구 하계동,1**,8m미만,14.0,전세,202212,22,9000,0,2002.0,공릉로59나길,202212~202412,신규,-,,,단독다가구,37.6350468,127.0698709
150,서울특별시 노원구 공릉동,3**,8m미만,21.0,전세,202212,21,9000,0,2007.0,동일로192나길,202302~202402,신규,-,,,단독다가구,37.6274653,127.0752641
151,서울특별시 노원구 공릉동,3**,8m미만,16.5,전세,202212,21,9000,0,2008.0,동일로190길,202301~202401,신규,-,,,단독다가구,37.6266931,127.0757284
152,서울특별시 노원구 하계동,1**,8m미만,14.0,전세,202212,21,9000,0,2002.0,공릉로59나길,202301~202302,신규,-,,,단독다가구,37.6350468,127.0698709
153,서울특별시 노원구 하계동,1**,8m미만,19.0,전세,202212,21,9000,0,2015.0,공릉로,-,-,-,,,단독다가구,37.6393895,127.0693259
154,서울특별시 노원구 상계동,3**,8m미만,48.6,전세,202212,21,13000,0,1992.0,상계로23가길,202301~202501,신규,-,,,단독다가구,37.6587823,127.0698038
156,서울특별시 노원구 공릉동,2**,12m미만,17.65,전세,202212,21,9500,0,2010.0,공릉로38길,202301~202501,신규,-,,,단독다가구,37.6231751,127.0801541
157,서울특별시 노원구 공릉동,2**,12m미만,18.17,전세,202212,21,14000,0,2015.0,노원로1바길,202302~202502,신규,-,,,단독다가구,37.6210707,127.0806902
158,서울특별시 노원구 공릉동,1**,8m미만,16.5,전세,202212,21,10000,0,,화랑로51가길,202302~202402,신규,-,,,단독다가구,37.6249957,127.0921995
159,서울특별시 노원구 월계동,4**,8m미만,16.0,전세,202212,21,7500,0,2003.0,석계로13길,202302~202502,신규,-,,,단독다가구,37.6197194,127.0614772
160,서울특별시 노원구 월계동,4**,8m미만,16.0,전세,202212,21,7500,0,2003.0,석계로13길,202302~202502,신규,-,,,단독다가구,37.6197194,127.0614772
162,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,21,7500,0,2015.0,동일로184길,202302~202402,신규,-,,,단독다가구,37.6243513,127.0758936
163,서울특별시 노원구 상계동,1**,8m미만,47.26,전세,202212,20,14000,0,1996.0,노원로32길,202301~202501,신규,-,,,단독다가구,37.6550571,127.0696866
164,서울특별시 노원구 월계동,5*,8m미만,48.6,전세,202212,20,8500,0,1991.0,석계로7길,202212~202412,신규,-,,,단독다가구,37.6165015,127.0635112
165,서울특별시 노원구 월계동,3**,8m미만,17.0,전세,202212,20,10000,0,2017.0,광운로15길,202301~202402,신규,-,,,단독다가구,37.6217329,127.0584442
166,서울특별시 노원구 공릉동,3**,12m미만,33.0,전세,202212,20,16000,0,2016.0,동일로190길,202302~202402,신규,-,,,단독다가구,37.6266931,127.0757284
167,서울특별시 노원구 공릉동,5**,8m미만,14.87,전세,202212,20,8500,0,2017.0,동일로180길,202302~202402,갱신,-,500,40.0,단독다가구,37.622504,127.0759676
168,서울특별시 노원구 공릉동,3**,8m미만,20.0,전세,202212,20,9000,0,2017.0,동일로193가길,202302~202402,신규,-,,,단독다가구,37.6273545,127.0712983
169,서울특별시 노원구 공릉동,5**,12m미만,20.0,전세,202212,20,9000,0,2016.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6253484,127.075036
170,서울특별시 노원구 공릉동,6**,12m미만,20.0,전세,202212,20,9000,0,2010.0,화랑로,202301~202501,신규,-,,,단독다가구,35.844717,129.2055617
171,서울특별시 노원구 공릉동,3**,8m미만,17.0,전세,202212,20,9000,0,2010.0,동일로190길,202212~202312,신규,-,,,단독다가구,37.6256192,127.074575
172,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,20,8500,0,2015.0,공릉로41마길,202302~202402,신규,-,,,단독다가구,37.6252697,127.0779284
173,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,20,8500,0,2014.0,공릉로43가길,202302~202402,신규,-,,,단독다가구,37.6266661,127.0778835
174,서울특별시 노원구 하계동,7*,8m미만,42.0,전세,202212,20,20000,0,2021.0,공릉로58라길,202301~202501,신규,-,,,단독다가구,,
176,서울특별시 노원구 공릉동,5**,8m미만,30.0,전세,202212,19,10000,0,1995.0,동일로186길,-,-,-,,,단독다가구,37.6251763,127.0734911
178,서울특별시 노원구 공릉동,5**,8m미만,20.0,전세,202212,19,7000,0,2013.0,동일로186길,-,-,-,,,단독다가구,37.6251763,127.0734911
179,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,19,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6251763,127.0734911
180,서울특별시 노원구 공릉동,5**,8m미만,20.0,전세,202212,19,9000,0,2011.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6251763,127.0734911
181,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,19,9000,0,2016.0,동일로186길,202302~202402,신규,-,,,단독다가구,37.6251763,127.0734911
182,서울특별시 노원구 공릉동,5**,8m미만,30.0,전세,202212,19,17000,0,2011.0,동일로182길,202302~202502,신규,-,,,단독다가구,37.6240719,127.0775937
183,서울특별시 노원구 공릉동,5**,12m미만,18.0,전세,202212,19,9000,0,2013.0,동일로182길,202301~202402,신규,-,,,단독다가구,37.6240719,127.0775937
184,서울특별시 노원구 공릉동,5**,8m미만,30.0,전세,202212,19,10000,0,1995.0,동일로186길,202301~202501,신규,-,,,단독다가구,37.6251763,127.0734911
185,서울특별시 노원구 공릉동,3**,8m미만,16.0,전세,202212,19,7500,0,2010.0,동일로196길,202302~202402,신규,-,,,단독다가구,37.6282688,127.0742061
186,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,19,9000,0,2014.0,공릉로43가길,202302~202402,신규,-,,,단독다가구,37.6266661,127.0778835
187,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,19,8000,0,2015.0,공릉로41가길,-,-,-,,,단독다가구,37.6253401,127.0790324
189,서울특별시 노원구 공릉동,5**,8m미만,41.4,전세,202212,19,6600,0,1991.0,동일로176길,-,-,-,,,단독다가구,37.6202735,127.0755948
190,서울특별시 노원구 공릉동,4**,8m미만,20.0,전세,202212,19,7000,0,2013.0,공릉로41마길,202302~202502,신규,-,,,단독다가구,37.6252697,127.0779284
191,서울특별시 노원구 상계동,1**,8m미만,20.0,전세,202212,19,6000,0,1992.0,한글비석로24바길,-,-,-,,,단독다가구,37.664258,127.0722324
192,서울특별시 노원구 상계동,1**,8m미만,13.0,전세,202212,19,8500,0,2017.0,수락산로,202212~202312,신규,-,,,단독다가구,37.6712271,127.0500943
193,서울특별시 노원구 상계동,1**,8m미만,41.55,전세,202212,19,6000,0,1992.0,한글비석로24바길,-,-,-,,,단독다가구,37.664258,127.0722324
