NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
2285,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,19,"19,350",10,12,2018,법원로4길 10,202405~202505,신규,-,,
2286,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,25.77,202404,19,"21,150",10,5,2017,법원로4길 6,202405~202605,신규,-,,
2287,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,19,"10,000",60,11,2018,법원로4길 10,202405~202505,신규,-,,
2288,서울특별시 송파구 문정동,643-1,643,1,엠스테이트,월세,26.15,202404,19,"1,000",100,16,2016,법원로 114,202405~202505,신규,-,,
2289,서울특별시 송파구 문정동,643-1,643,1,엠스테이트,월세,26.15,202404,19,"2,000",95,9,2016,법원로 114,202404~202504,신규,-,,
2290,서울특별시 송파구 문정동,643-1,643,1,엠스테이트,전세,29.79,202404,19,"24,000",0,6,2016,법원로 114,202405~202505,갱신,-,"24,000",0
2291,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,월세,30,202404,19,"1,000",100,12,2013,새말로 62,202406~202506,갱신,-,"1,000",100
2292,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,월세,30,202404,19,"21,800",20,14,2013,새말로 62,202405~202605,갱신,사용,"26,000",0
2293,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,24.66,202404,19,"1,000",95,15,2013,충민로 5,202404~202504,신규,-,,
2294,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,전세,29.96,202404,19,"23,100",0,14,2013,충민로 5,202405~202605,갱신,-,"23,100",0
2295,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,전세,29.96,202404,19,"19,900",0,11,2013,충민로 5,202406~202606,갱신,-,"19,900",0
2296,서울특별시 송파구 잠실동,180-2,180,2,SJ 에비뉴힐스,월세,24.28,202404,19,"1,000",110,13,2024,백제고분로7길 23,202404~202604,신규,-,,
2297,서울특별시 송파구 잠실동,194,194,0,잠실아이파크,전세,24.42,202404,19,"25,000",0,4,2013,올림픽로8길 20,202404~202503,갱신,-,"23,000",0
2298,서울특별시 송파구 방이동,Feb-43,43,2,잠실 트리움,월세,24.83,202404,19,"2,000",100,10,2019,오금로11길 43,202404~202504,신규,-,,
2299,서울특별시 송파구 방이동,39,39,0,잠실 제니알,월세,23.57,202404,19,"10,000",47,8,2020,올림픽로34길 6,202405~202505,신규,-,,
2300,서울특별시 송파구 방이동,47,47,0,잠실헤리츠,월세,16.43,202404,19,"1,000",78,10,2017, ,202405~202505,신규,-,,
2301,서울특별시 송파구 방이동,Aug-41,41,8,잠실 벨솔레 오피스텔,월세,29.69,202404,18,"10,000",65,5,2020,올림픽로34길 5-13,202406~202506,갱신,-,"10,000",60
2302,서울특별시 송파구 방이동,49,49,0,오르본 인투파크 오피스텔,전세,29,202404,18,"28,080",0,10,2018,오금로11길 55-22,202405~202605,신규,-,,
2303,서울특별시 송파구 거여동,605-3,605,3,송파헤븐시티 더 테라스,전세,43.5,202404,18,"34,000",0,11,2021, ,202406~202606,신규,-,,
2304,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,29.99,202404,18,"1,000",84,13,2013,충민로 5,202404~202504,신규,-,,
2305,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,29.99,202404,18,"1,000",100,14,2013,충민로 5,202405~202605,갱신,-,"1,000",95
2306,서울특별시 송파구 문정동,624,624,0,송파 아이파크,월세,25.87,202404,18,"20,000",15,10,2015,법원로 55,202405~202605,신규,-,,
2307,서울특별시 송파구 문정동,643-1,643,1,엠스테이트,월세,29.79,202404,18,"1,000",120,17,2016,법원로 114,202405~202504,신규,-,,
2308,서울특별시 송파구 문정동,624,624,0,송파 아이파크,월세,29.83,202404,18,"1,000",105,9,2015,법원로 55,202405~202505,갱신,-,"1,000",100
